,state,act17_eng,act17_math,act17_read,act17_sci,act17_comp,act17_partrate,act18_comp,act18_partrate,act19_comp,act19_partrate,act18_eng,act18_math,act18_read,act18_sci,act19_eng,act19_math,act19_read,act19_sci
0,National,20.3,20.7,21.4,21.0,21.0,0.6,,,,,,,,,,,,
1,Alabama,18.9,18.4,19.7,19.4,19.2,1.0,19.1,1.0,18.9,1.0,18.9,18.3,19.6,19.0,18.7,18.1,19.5,18.8
2,Alaska,18.7,19.8,20.4,19.9,19.8,0.65,20.8,0.33,20.1,0.38,19.8,20.6,21.6,20.7,18.9,19.9,20.9,20.2
3,Arizona,18.6,19.8,20.1,19.8,19.7,0.62,19.2,0.66,19.0,0.73,18.2,19.4,19.5,19.2,17.9,19.2,19.3,19.0
4,Arkansas,18.9,19.0,19.7,19.5,19.4,1.0,19.4,1.0,19.3,1.0,19.1,18.9,19.7,19.4,19.0,18.7,19.6,19.2
5,California,22.5,22.7,23.1,22.2,22.8,0.31,22.7,0.27,22.6,0.23,22.5,22.5,23.0,22.1,22.4,22.3,23.0,22.2
6,Colorado,20.1,20.3,21.2,20.9,20.8,1.0,23.9,0.3,23.8,0.27,23.9,23.2,24.4,23.5,23.8,23.3,24.3,23.4
7,Connecticut,25.5,24.6,25.6,24.6,25.2,0.31,25.6,0.26,25.5,0.22,26.0,24.8,26.1,24.9,25.9,24.7,26.1,24.8
8,Delaware,24.1,23.4,24.8,23.6,24.1,0.18,23.8,0.17,24.1,0.13,23.7,23.1,24.5,23.4,23.9,23.1,24.7,23.5
9,District of Columbia,24.4,23.5,24.9,23.5,24.2,0.32,,,,,,,,,,,,
10,Florida,19.0,19.4,21.0,19.4,19.8,0.73,19.9,0.66,20.1,0.54,19.2,19.3,21.1,19.5,19.5,19.5,21.2,19.7
11,Georgia,21.0,20.9,22.0,21.3,21.4,0.55,21.4,0.53,21.4,0.49,20.9,20.7,22.1,21.2,20.9,20.7,22.2,21.2
12,Hawaii,17.8,19.2,19.2,19.3,19.0,0.9,18.9,0.89,19.0,0.8,18.2,19.0,19.1,19.0,17.9,19.2,19.2,19.2
13,Idaho,21.9,21.8,23.0,22.1,22.3,0.38,22.3,0.36,22.5,0.31,21.9,21.6,23.2,22.1,21.9,21.9,23.4,22.2
14,Illinois,21.0,21.2,21.6,21.3,21.4,0.93,23.9,0.43,24.3,0.35,24.1,23.4,24.2,23.4,24.5,23.8,24.7,23.7
15,Indiana,22.0,22.4,23.2,22.3,22.6,0.35,22.5,0.32,22.5,0.29,21.9,22.3,23.1,22.2,21.7,22.3,23.1,22.2
16,Iowa,21.2,21.3,22.6,22.1,21.9,0.67,21.8,0.68,21.6,0.66,21.0,21.2,22.5,22.0,20.8,21.0,22.3,21.8
17,Kansas,21.1,21.3,22.3,21.7,21.7,0.73,21.6,0.71,21.2,0.72,21.0,21.1,22.3,21.5,20.5,20.7,21.8,21.1
18,Kentucky,19.6,19.4,20.5,20.1,20.0,1.0,20.2,1.0,19.8,1.0,19.9,19.7,20.8,20.1,19.5,19.2,20.5,19.6
19,Louisiana,19.4,18.8,19.8,19.6,19.5,1.0,19.2,1.0,18.8,1.0,19.0,18.5,19.6,19.1,18.7,18.2,19.2,18.8
20,Maine,24.2,24.0,24.8,23.7,24.3,0.08,24.0,0.07,24.3,0.06,23.8,23.6,24.7,23.4,24.2,23.8,25.1,23.7
21,Maine,24.2,24.0,24.8,23.7,24.3,0.08,24.0,0.07,24.3,0.06,23.8,23.6,24.7,23.4,24.2,23.8,25.1,23.7
22,Maryland,23.3,23.1,24.2,2.3,23.6,0.28,22.5,0.31,22.3,0.28,22.1,22.0,23.1,22.2,22.0,21.7,23.1,22.1
23,Massachusetts,25.4,25.3,25.9,24.7,25.4,0.29,25.5,0.25,25.5,0.21,25.5,25.2,25.9,24.7,25.5,25.2,26.1,24.8
24,Michigan,24.1,23.7,24.5,23.8,24.1,0.29,24.2,0.22,24.4,0.19,24.5,23.9,24.7,23.9,24.5,24.0,24.8,24.0
25,Minnesota,20.4,21.5,21.8,21.6,21.5,1.0,21.3,0.99,21.4,0.95,20.2,21.4,21.7,21.4,20.3,21.4,21.7,21.6
26,Mississippi,18.2,18.1,18.8,18.8,18.6,1.0,18.6,1.0,18.4,1.0,18.2,18.1,18.9,18.6,18.1,17.9,18.9,18.4
27,Missouri,19.8,19.9,20.8,20.5,20.4,1.0,20.0,1.0,20.8,0.82,19.5,19.7,20.5,20.0,20.3,20.2,21.3,20.8
28,Montana,19.0,20.2,21.0,20.5,20.3,1.0,20.0,1.0,19.8,1.0,18.7,19.9,20.7,20.0,18.7,19.7,20.6,19.9
29,Nebraska,20.9,20.9,21.9,21.5,21.4,0.84,20.1,1.0,20.0,1.0,19.4,19.8,20.4,20.1,19.4,19.7,20.3,20.2
30,Nevada,16.3,18.0,18.1,18.2,17.8,1.0,17.7,1.0,17.9,1.0,16.6,17.8,18.0,17.9,16.8,18.0,18.2,17.9
31,New Hampshire,25.4,25.1,26.0,24.9,25.5,0.18,25.1,0.16,25.0,0.14,25.1,24.7,25.6,24.4,24.9,24.7,25.6,24.5
32,New Jersey,23.8,23.8,24.1,23.2,23.9,0.34,23.7,0.31,24.2,0.25,23.8,23.6,24.0,23.0,24.3,24.0,24.6,23.6
33,New Mexico,18.6,19.4,20.4,20.0,19.7,0.66,19.4,0.67,19.3,0.63,18.3,19.1,20.1,19.7,18.1,18.9,20.0,19.6
34,New York,23.8,24.0,24.6,23.9,24.2,0.31,24.5,0.27,24.5,0.22,24.2,24.2,24.9,24.2,24.1,24.1,25.0,24.4
35,North Carolina,17.8,19.3,19.6,19.3,19.1,1.0,19.1,1.0,19.0,1.0,18.0,19.3,19.5,19.2,17.8,19.2,19.4,19.0
36,North Dakota,19.0,20.4,20.5,20.6,20.3,0.98,20.3,0.98,19.9,0.96,19.1,20.3,20.7,20.5,18.6,19.9,20.3,20.2
37,Ohio,21.2,21.6,22.5,22.0,22.0,0.75,20.3,1.0,20.0,1.0,19.3,20.3,20.8,20.4,19.0,19.9,20.5,20.1
38,Oklahoma,18.5,18.8,20.1,19.6,19.4,1.0,19.3,1.0,18.9,1.0,18.4,18.8,20.1,19.4,18.2,18.3,19.6,19.0
39,Oregon,21.2,21.5,22.4,21.7,21.8,0.4,21.3,0.42,21.1,0.42,20.6,20.9,21.9,21.1,20.3,20.8,21.7,21.1
40,Pennsylvania,23.4,23.4,24.2,23.3,23.7,0.23,23.5,0.2,23.6,0.17,23.3,23.2,24.0,23.1,23.3,23.1,24.1,23.2
41,Rhode Island,24.0,23.3,24.7,23.4,24.0,0.21,24.2,0.15,24.7,0.12,24.4,23.6,25.0,23.5,25.0,23.9,25.5,24.0
42,South Carolina,17.5,18.6,19.1,18.9,18.7,1.0,18.3,1.0,18.8,0.78,17.3,18.2,18.6,18.5,18.0,18.7,19.4,18.9
43,South Dakota,20.7,21.5,22.3,22.0,21.8,0.8,21.9,0.77,21.6,0.75,20.8,21.6,22.4,22.2,20.7,21.3,22.2,21.9
44,Tennessee,19.5,19.2,20.1,19.9,19.8,1.0,19.6,1.0,19.4,1.0,19.4,19.1,19.9,19.6,19.1,18.9,19.7,19.2
45,Texas,19.5,20.7,21.1,20.9,20.7,0.45,20.7,0.45,20.5,0.39,19.6,20.6,21.1,20.8,19.5,20.4,21.1,20.6
