,state,act19_composite,act19_partrate,sat19_readwrite,sat19_math,sat19_total,sat19_partrate
0,Alabama,18.9,1.0,583.0,560.0,1143.0,0.07
1,Alaska,20.1,0.38,556.0,541.0,1097.0,0.41
2,Arizona,19.0,0.73,569.0,565.0,1134.0,0.31
3,Arkansas,19.3,1.0,582.0,559.0,1141.0,0.06
4,California,22.6,0.23,534.0,531.0,1065.0,0.63
5,Colorado,23.8,0.27,518.0,506.0,1024.0,1.0
6,Connecticut,25.5,0.22,529.0,516.0,1046.0,1.0
7,Delaware,24.1,0.13,499.0,486.0,985.0,1.0
8,District of Columbia,23.5,0.32,495.0,480.0,975.0,0.94
9,Florida,20.1,0.54,516.0,483.0,999.0,1.0
10,Georgia,21.4,0.49,538.0,519.0,1058.0,0.71
11,Hawaii,19.0,0.8,550.0,550.0,1100.0,0.54
12,Idaho,22.5,0.31,505.0,488.0,993.0,1.0
13,Illinois,24.3,0.35,509.0,504.0,1013.0,1.0
14,Indiana,22.5,0.29,543.0,537.0,1080.0,0.66
15,Iowa,21.6,0.66,622.0,622.0,1244.0,0.03
16,Kansas,21.2,0.72,618.0,623.0,1241.0,0.04
17,Kentucky,19.8,1.0,620.0,612.0,1232.0,0.04
18,Louisiana,18.8,1.0,610.0,591.0,1200.0,0.05
19,Maine,24.3,0.06,512.0,502.0,1013.0,0.99
20,Maryland,22.3,0.28,535.0,523.0,1058.0,0.82
21,Massachusetts,25.5,0.21,559.0,561.0,1120.0,0.81
22,Michigan,24.4,0.19,507.0,496.0,1003.0,1.0
23,Minnesota,21.4,0.95,636.0,648.0,1284.0,0.04
24,Mississippi,18.4,1.0,628.0,608.0,1237.0,0.03
25,Missouri,20.8,0.82,622.0,615.0,1236.0,0.04
26,Montana,19.8,1.0,603.0,596.0,1199.0,0.09
27,Nebraska,20.0,1.0,628.0,631.0,1260.0,0.03
28,Nevada,17.9,1.0,580.0,576.0,1156.0,0.2
29,New Hampshire,25.0,0.14,533.0,526.0,1059.0,0.95
30,New Jersey,24.2,0.25,544.0,545.0,1090.0,0.82
31,New Mexico,19.3,0.63,543.0,530.0,1073.0,0.18
32,New York,24.5,0.22,531.0,533.0,1064.0,0.79
33,North Carolina,19.0,1.0,554.0,546.0,1100.0,0.51
34,North Dakota,19.9,0.96,627.0,636.0,1263.0,0.02
35,Ohio,20.0,1.0,550.0,548.0,1097.0,0.19
36,Oklahoma,18.9,1.0,490.0,472.0,963.0,0.22
37,Oregon,21.1,0.42,562.0,550.0,1112.0,0.51
38,Pennsylvania,23.6,0.17,545.0,537.0,1082.0,0.7
39,Rhode Island,24.7,0.12,503.0,492.0,995.0,1.0
40,South Carolina,18.8,0.78,526.0,504.0,1030.0,0.68
41,South Dakota,21.6,0.75,633.0,635.0,1268.0,0.03
42,Tennessee,19.4,1.0,618.0,602.0,1220.0,0.07
43,Texas,20.5,0.39,515.0,507.0,1022.0,0.68
44,Utah,20.3,1.0,614.0,615.0,1230.0,0.04
45,Vermont,24.1,0.2,560.0,546.0,1106.0,0.66
46,Virginia,24.0,0.21,567.0,551.0,1119.0,0.68
47,Washington,22.1,0.24,539.0,535.0,1074.0,0.7
48,West Virginia,20.8,0.49,483.0,460.0,943.0,0.99
49,Wisconsin,20.3,1.0,635.0,648.0,1283.0,0.03
50,Wyoming,19.8,1.0,623.0,615.0,1238.0,0.03
