,state,sat17_readwrite,sat17_math,sat17_total,sat17_partrate,sat18_readwrite,sat18_math,sat18_total,sat18_partrate,sat19_readwrite,sat19_math,sat19_total,sat19_partrate
0,Alabama,593,572,1165,0.05,595,571,1166,0.06,583,560,1143,0.07
1,Alaska,547,533,1080,0.38,562,544,1106,0.43,556,541,1097,0.41
2,Arizona,563,553,1116,0.3,577,572,1149,0.29,569,565,1134,0.31
3,Arkansas,614,594,1208,0.03,592,576,1169,0.05,582,559,1141,0.06
4,California,531,524,1055,0.53,540,536,1076,0.6,534,531,1065,0.63
5,Colorado,606,595,1201,0.11,519,506,1025,1.0,518,506,1024,1.0
6,Connecticut,530,512,1041,1.0,535,519,1053,1.0,529,516,1046,1.0
7,Delaware,503,492,996,1.0,505,492,998,1.0,499,486,985,1.0
8,District of Columbia,482,468,950,1.0,497,480,977,0.92,495,480,975,0.94
9,Florida,520,497,1017,0.83,550,549,1099,0.56,516,483,999,1.0
10,Georgia,535,515,1050,0.61,542,522,1064,0.7,538,519,1058,0.71
11,Hawaii,544,541,1085,0.55,480,530,1010,0.56,550,550,1100,0.54
12,Idaho,513,493,1005,0.93,508,493,1001,1.0,505,488,993,1.0
13,Illinois,559,556,1115,0.09,513,506,1019,0.99,509,504,1013,1.0
14,Indiana,542,532,1074,0.63,542,532,1074,0.63,543,537,1080,0.66
15,Iowa,641,635,1275,0.02,634,631,1265,0.03,622,622,1244,0.03
16,Kansas,632,628,1260,0.04,633,631,1265,0.04,618,623,1241,0.04
17,Kentucky,631,616,1247,0.04,630,618,1248,0.04,620,612,1232,0.04
18,Louisiana,611,586,1198,0.04,615,595,1210,0.04,610,591,1200,0.05
19,Maine,513,499,1012,0.95,512,501,1013,0.99,512,502,1013,0.99
20,Maryland,536,524,1060,0.69,545,535,1080,0.76,535,523,1058,0.82
21,Massachusetts,555,551,1107,0.76,562,563,1125,0.8,559,561,1120,0.81
22,Michigan,509,495,1005,1.0,511,499,1011,1.0,507,496,1003,1.0
23,Minnesota,644,651,1295,0.03,643,655,1298,0.04,636,648,1284,0.04
24,Mississippi,634,607,1242,0.02,630,606,1236,0.03,628,608,1237,0.03
25,Missouri,640,631,1271,0.03,633,629,1262,0.04,622,615,1236,0.04
26,Montana,605,591,1196,0.1,606,592,1198,0.1,603,596,1199,0.09
27,Nebraska,629,625,1253,0.03,629,623,1252,0.03,628,631,1260,0.03
28,Nevada,563,553,1116,0.26,574,566,1140,0.23,580,576,1156,0.2
29,New Hampshire,532,520,1052,0.96,535,528,1063,0.96,533,526,1059,0.95
30,New Jersey,530,526,1056,0.7,547,547,1094,0.82,544,545,1090,0.82
31,New Mexico,577,561,1138,0.11,552,540,1093,0.16,543,530,1073,0.18
32,New York,528,523,1052,0.67,534,534,1068,0.79,531,533,1064,0.79
33,North Carolina,546,535,1081,0.49,554,543,1098,0.52,554,546,1100,0.51
34,North Dakota,635,621,1256,0.02,640,643,1283,0.02,627,636,1263,0.02
35,Ohio,578,570,1149,0.12,552,547,1099,0.18,550,548,1097,0.19
36,Oklahoma,530,517,1047,0.07,541,521,1062,0.08,490,472,963,0.22
37,Oregon,560,548,1108,0.43,564,553,1117,0.48,562,550,1112,0.51
38,Pennsylvania,540,531,1071,0.65,547,539,1086,0.7,545,537,1082,0.7
39,Rhode Island,539,524,1062,0.71,513,505,1018,0.97,503,492,995,1.0
40,South Carolina,543,521,1064,0.5,547,523,1070,0.55,526,504,1030,0.68
41,South Dakota,612,603,1216,0.03,622,618,1240,0.03,633,635,1268,0.03
42,Tennessee,623,604,1228,0.05,624,607,1231,0.06,618,602,1220,0.07
43,Texas,513,507,1020,0.62,520,512,1032,0.66,515,507,1022,0.68
44,Utah,624,614,1238,0.03,480,530,1010,0.04,614,615,1230,0.04
45,Vermont,562,551,1114,0.6,565,554,1120,0.64,560,546,1106,0.66
46,Virginia,561,541,1102,0.65,567,550,1117,0.68,567,551,1119,0.68
47,Washington,541,534,1075,0.64,543,538,1081,0.69,539,535,1074,0.7
48,West Virginia,558,528,1086,0.14,513,486,999,0.28,483,460,943,0.99
49,Wisconsin,642,649,1291,0.03,641,653,1294,0.03,635,648,1283,0.03
50,Wyoming,626,604,1230,0.03,633,625,1257,0.03,623,615,1238,0.03
