State,ACT_English_2018,ACT_Math_2018,ACT_Reading_2018,ACT_Science_2018,ACT_English_2019,ACT_Math_2019,ACT_Reading_2019,ACT_Science_2019
National,20.2,20.5,21.3,20.7,20.1,20.4,21.2,20.6
Alabama,18.9,18.3,19.6,19,18.7,18.1,19.5,18.8
Alaska,19.8,20.6,21.6,20.7,18.9,19.9,20.9,20.2
Arizona,18.2,19.4,19.5,19.2,17.9,19.2,19.3,19
Arkansas,19.1,18.9,19.7,19.4,19,18.7,19.6,19.2
California,22.5,22.5,23,22.1,22.4,22.3,23,22.2
Colorado,23.9,23.2,24.4,23.5,23.8,23.3,24.3,23.4
Connecticut,26,24.8,26.1,24.9,25.9,24.7,26.1,24.8
Delaware,23.7,23.1,24.5,23.4,23.9,23.1,24.7,23.5
District of Columbia,23.7,22.7,24.4,23,23.6,22.7,24.4,22.9
Florida,19.2,19.3,21.1,19.5,19.5,19.5,21.2,19.7
Georgia,20.9,20.7,22.1,21.2,20.9,20.7,22.2,21.2
Hawaii,18.2,19,19.1,19,17.9,19.2,19.2,19.2
Idaho,21.9,21.6,23.2,22.1,21.9,21.9,23.4,22.2
Illinois,24.1,23.4,24.2,23.4,24.5,23.8,24.7,23.7
Indiana,21.9,22.3,23.1,22.2,21.7,22.3,23.1,22.2
Iowa,21,21.2,22.5,22,20.8,21,22.3,21.8
Kansas,21,21.1,22.3,21.5,20.5,20.7,21.8,21.1
Kentucky,19.9,19.7,20.8,20.1,19.5,19.2,20.5,19.6
Louisiana,19,18.5,19.6,19.1,18.7,18.2,19.2,18.8
Maine,23.8,23.6,24.7,23.4,24.2,23.8,25.1,23.7
Maryland,22.1,22,23.1,22.2,22,21.7,23.1,22.1
Massachusetts,25.5,25.2,25.9,24.7,25.5,25.2,26.1,24.8
Michigan,24.5,23.9,24.7,23.9,24.5,24,24.8,24
Minnesota,20.2,21.4,21.7,21.4,20.3,21.4,21.7,21.6
Mississippi,18.2,18.1,18.9,18.6,18.1,17.9,18.9,18.4
Missouri,19.5,19.7,20.5,20,20.3,20.2,21.3,20.8
Montana,18.7,19.9,20.7,20,18.7,19.7,20.6,19.9
Nebraska,19.4,19.8,20.4,20.1,19.4,19.7,20.3,20.2
Nevada,16.6,17.8,18,17.9,16.8,18,18.2,17.9
New Hampshire,25.1,24.7,25.6,24.4,24.9,24.7,25.6,24.5
New Jersey,23.8,23.6,24,23,24.3,24,24.6,23.6
New Mexico,18.3,19.1,20.1,19.7,18.1,18.9,20,19.6
New York,24.2,24.2,24.9,24.2,24.1,24.1,25,24.4
North Carolina,18,19.3,19.5,19.2,17.8,19.2,19.4,19
North Dakota,19.1,20.3,20.7,20.5,18.6,19.9,20.3,20.2
Ohio,19.3,20.3,20.8,20.4,19,19.9,20.5,20.1
Oklahoma,18.4,18.8,20.1,19.4,18.2,18.3,19.6,19
Oregon,20.6,20.9,21.9,21.1,20.3,20.8,21.7,21.1
Pennsylvania,23.3,23.2,24,23.1,23.3,23.1,24.1,23.2
Rhode Island,24.4,23.6,25,23.5,25,23.9,25.5,24
South Carolina,17.3,18.2,18.6,18.5,18,18.7,19.4,18.9
South Dakota,20.8,21.6,22.4,22.2,20.7,21.3,22.2,21.9
Tennessee,19.4,19.1,19.9,19.6,19.1,18.9,19.7,19.2
Texas,19.6,20.6,21.1,20.8,19.5,20.4,21.1,20.6
Utah,19.7,19.9,20.9,20.5,19.5,20,20.8,20.3
Vermont,23.9,23.4,24.9,23.8,23.9,23.3,25,23.9
Virginia,23.8,23.3,24.7,23.5,23.8,23.3,24.8,23.6
Washington,21.4,22.2,22.7,22,21.3,22.1,22.7,21.9
West Virginia,19.8,19.4,21.3,20.4,20.6,19.7,21.7,20.7
Wisconsin,19.8,20.3,20.6,20.8,19.4,20.2,20.4,20.6
Wyoming,19,19.7,20.6,20.3,18.8,19.4,20.4,20
