,variable,coef,abs_coef
23,2nd_flr_sf,20334.75494498517,20334.75494498517
22,1st_flr_sf,19414.566649045664,19414.566649045664
10,overall_qual,12318.925923384832,12318.925923384832
106,exterior_2nd_VinylSd,8945.42911160047,8945.42911160047
49,bsmt_liv_area,8563.30412707084,8563.30412707084
107,exterior_2nd_Wd Sdng,8267.345384404167,8267.345384404167
110,mas_vnr_type_BrkFace,-8184.456872836816,8184.456872836816
93,exterior_1st_Wd Sdng,-7833.68633478482,7833.68633478482
14,mas_vnr_area,7657.676599908318,7657.676599908318
100,exterior_2nd_HdBoard,7021.07486385142,7021.07486385142
53,neighborhood_numeric,6753.817221036825,6753.817221036825
25,gr_liv_area,6256.73871666765,6256.73871666765
15,exter_qual,6108.883282264472,6108.883282264472
102,exterior_2nd_MetalSd,5967.802459823014,5967.802459823014
37,garage_area,5959.7320252957525,5959.7320252957525
19,bsmt_exposure,5957.65173259024,5957.65173259024
86,exterior_1st_HdBoard,-5817.840176206673,5817.840176206673
5,lot_area,5730.1251772778705,5730.1251772778705
92,exterior_1st_VinylSd,-5717.498522393766,5717.498522393766
17,bsmt_qual,5322.671665215749,5322.671665215749
2,ms_subclass,-5268.175176695182,5268.175176695182
11,overall_cond,5195.939883338829,5195.939883338829
38,garage_qual,5129.742275948363,5129.742275948363
103,exterior_2nd_Plywood,5093.083874964491,5093.083874964491
89,exterior_1st_Plywood,-4781.274523715915,4781.274523715915
32,kitchen_qual,4724.8906290349305,4724.8906290349305
30,bedroom_abvgr,-4094.1092437599923,4094.1092437599923
51,garage,-3960.753944057081,3960.753944057081
96,exterior_2nd_Brk Cmn,3876.0754249972547,3876.0754249972547
39,garage_cond,-3874.3160166452467,3874.3160166452467
34,functional,3688.002274322569,3688.002274322569
108,exterior_2nd_Wd Shng,3681.66719057248,3681.66719057248
45,screen_porch,3501.173905127172,3501.173905127172
75,roof_style_Mansard,-3452.6012337474235,3452.6012337474235
111,mas_vnr_type_None,-3423.875404243892,3423.875404243892
54,land_contour_HLS,3133.547019651698,3133.547019651698
85,exterior_1st_CemntBd,2910.335350063152,2910.335350063152
52,comb_conditions,2891.10106905538,2891.10106905538
31,kitchen_abvgr,-2802.6640233869994,2802.6640233869994
12,year_built,2679.326902883907,2679.326902883907
88,exterior_1st_MetalSd,-2638.123090812443,2638.123090812443
80,roof_matl_WdShngl,2526.604519447587,2526.604519447587
120,heating_OthW,-2493.580184243582,2493.580184243582
113,foundation_CBlock,-2427.3952870916337,2427.3952870916337
105,exterior_2nd_Stucco,2421.4806439283752,2421.4806439283752
57,lot_config_CulDSac,2392.121978887984,2392.121978887984
33,totrms_abvgrd,2350.0319600669154,2350.0319600669154
82,exterior_1st_BrkComm,-2318.5227869066457,2318.5227869066457
122,central_air_Y,-2129.2832323254256,2129.2832323254256
97,exterior_2nd_BrkFace,2048.2106620170493,2048.2106620170493
91,exterior_1st_Stucco,-2038.4935260979132,2038.4935260979132
69,house_style_2Story,-2005.312751147378,2005.312751147378
99,exterior_2nd_CmentBd,1984.5911640286683,1984.5911640286683
94,exterior_1st_WdShing,-1840.6493378695666,1840.6493378695666
74,roof_style_Hip,1734.286035457153,1734.286035457153
76,roof_style_Shed,-1700.4896620863435,1700.4896620863435
95,exterior_2nd_AsphShn,1679.4566673893512,1679.4566673893512
36,fireplace_qu,1579.7789419495384,1579.7789419495384
1,pid,-1530.451484653716,1530.451484653716
24,low_qual_fin_sf,1504.0940328914737,1504.0940328914737
68,house_style_2.5Unf,1467.296645836784,1467.296645836784
126,misc_feature_TenC,-1414.556240407112,1414.556240407112
62,bldg_type_Duplex,1404.7997238835956,1404.7997238835956
61,bldg_type_2fmCon,1397.114464825837,1397.114464825837
115,foundation_Slab,1344.7181099535505,1344.7181099535505
109,mas_vnr_type_BrkCmn,-1330.8303243301023,1330.8303243301023
78,roof_matl_Tar&Grv,-1314.9572847638376,1314.9572847638376
8,utilities,1296.3746696497794,1296.3746696497794
40,paved_drive,1292.1612841149115,1292.1612841149115
4,lot_frontage,1259.0226227804264,1259.0226227804264
26,bsmt_full_bath,1232.3627343948638,1232.3627343948638
55,land_contour_Low,-1160.652681821711,1160.652681821711
13,year_remod/add,1143.2474169786344,1143.2474169786344
56,land_contour_Lvl,1100.1499887564655,1100.1499887564655
7,lot_shape,1047.2744555044223,1047.2744555044223
16,exter_cond,-1046.1783631110975,1046.1783631110975
67,house_style_2.5Fin,-1038.0622937830994,1038.0622937830994
20,heating_qc,1029.676180994524,1029.676180994524
58,lot_config_FR2,-1025.5202518966514,1025.5202518966514
72,roof_style_Gable,-952.7420148622426,952.7420148622426
50,have_alley,-885.9709830737789,885.9709830737789
124,misc_feature_Othr,868.9448826335683,868.9448826335683
41,wood_deck_sf,853.9344296272399,853.9344296272399
18,bsmt_cond,-838.5026158123732,838.5026158123732
66,house_style_1Story,793.4820832972825,793.4820832972825
112,mas_vnr_type_Stone,-735.384921879963,735.384921879963
43,enclosed_porch,696.8807512676896,696.8807512676896
21,electrical,-669.811574705415,669.811574705415
42,open_porch_sf,644.6225312319084,644.6225312319084
79,roof_matl_WdShake,621.5245448358672,621.5245448358672
48,misc_val,611.0142621389757,611.0142621389757
44,3ssn_porch,595.8579978566719,595.8579978566719
27,bsmt_half_bath,-555.1074247514297,555.1074247514297
46,pool_area,502.77127600919476,502.77127600919476
83,exterior_1st_BrkFace,-452.1831310742107,452.1831310742107
104,exterior_2nd_Stone,444.9226936071964,444.9226936071964
47,fence,426.41090562277157,426.41090562277157
65,house_style_1.5Unf,421.39977767740936,421.39977767740936
0,id,420.4758594499826,420.4758594499826
29,half_bath,390.5001789510762,390.5001789510762
70,house_style_SFoyer,-374.1366615211852,374.1366615211852
118,heating_GasW,-330.07275072026147,330.07275072026147
