,variable,coef,abs_coef
25,gr_liv_area,12542.798176034688,12542.798176034688
10,overall_qual,10530.81239203751,10530.81239203751
22,1st_flr_sf,9417.464989942288,9417.464989942288
49,bsmt_liv_area,7569.9845948855755,7569.9845948855755
14,mas_vnr_area,6796.140063813407,6796.140063813407
53,neighborhood_numeric,6586.825713749881,6586.825713749881
15,exter_qual,6400.4652787928,6400.4652787928
37,garage_area,6051.623746836181,6051.623746836181
23,2nd_flr_sf,5764.464948486017,5764.464948486017
19,bsmt_exposure,5555.197969130337,5555.197969130337
32,kitchen_qual,5524.4318762181365,5524.4318762181365
5,lot_area,5217.002788092061,5217.002788092061
17,bsmt_qual,4589.805486924387,4589.805486924387
11,overall_cond,4171.81708646985,4171.81708646985
33,totrms_abvgrd,3889.5168819969313,3889.5168819969313
45,screen_porch,3490.479532138063,3490.479532138063
34,functional,3017.5824306199574,3017.5824306199574
54,land_contour_HLS,2898.0057530925415,2898.0057530925415
110,mas_vnr_type_BrkFace,-2842.3165540947584,2842.3165540947584
75,roof_style_Mansard,-2808.776821442023,2808.776821442023
2,ms_subclass,-2677.6864341246023,2677.6864341246023
80,roof_matl_WdShngl,2610.7516863095,2610.7516863095
52,comb_conditions,2608.238883084702,2608.238883084702
85,exterior_1st_CemntBd,2511.600650042371,2511.600650042371
57,lot_config_CulDSac,2333.7857796157864,2333.7857796157864
30,bedroom_abvgr,-2253.019111899606,2253.019111899606
28,full_bath,2194.0108002147317,2194.0108002147317
26,bsmt_full_bath,2153.3993033186052,2153.3993033186052
83,exterior_1st_BrkFace,2111.938771924095,2111.938771924095
74,roof_style_Hip,2065.400883519793,2065.400883519793
36,fireplace_qu,2036.7248503214414,2036.7248503214414
12,year_built,2007.1949345506214,2007.1949345506214
51,garage,-1950.649598607282,1950.649598607282
31,kitchen_abvgr,-1824.2993734942131,1824.2993734942131
4,lot_frontage,1820.933842913895,1820.933842913895
120,heating_OthW,-1805.184428933984,1805.184428933984
113,foundation_CBlock,-1744.148931986121,1744.148931986121
112,mas_vnr_type_Stone,1724.945977714566,1724.945977714566
68,house_style_2.5Unf,1682.304402497851,1682.304402497851
93,exterior_1st_Wd Sdng,-1652.5579683053743,1652.5579683053743
13,year_remod/add,1642.541203346514,1642.541203346514
64,bldg_type_TwnhsE,-1609.3911841233523,1609.3911841233523
99,exterior_2nd_CmentBd,1455.605885077203,1455.605885077203
1,pid,-1442.0828636624117,1442.0828636624117
41,wood_deck_sf,1422.7021840504153,1422.7021840504153
29,half_bath,1375.7835326304655,1375.7835326304655
96,exterior_2nd_Brk Cmn,1345.0816281574296,1345.0816281574296
42,open_porch_sf,1303.714271801689,1303.714271801689
72,roof_style_Gable,-1289.582657384818,1289.582657384818
76,roof_style_Shed,-1288.6870188283574,1288.6870188283574
122,central_air_Y,-1281.3658164064766,1281.3658164064766
35,fireplaces,1274.9447578165955,1274.9447578165955
39,garage_cond,-1274.568126650272,1274.568126650272
115,foundation_Slab,1206.7061527452354,1206.7061527452354
126,misc_feature_TenC,-1206.3205485644824,1206.3205485644824
114,foundation_PConc,1135.4569429047551,1135.4569429047551
20,heating_qc,1133.7296789442482,1133.7296789442482
78,roof_matl_Tar&Grv,-1103.6093027643044,1103.6093027643044
8,utilities,1103.128297939427,1103.128297939427
82,exterior_1st_BrkComm,-1092.8590420082458,1092.8590420082458
38,garage_qual,1084.6945111443906,1084.6945111443906
40,paved_drive,1049.4273911716168,1049.4273911716168
71,house_style_SLvl,-949.2924375813037,949.2924375813037
103,exterior_2nd_Plywood,-897.5052418103594,897.5052418103594
88,exterior_1st_MetalSd,882.9159992341752,882.9159992341752
58,lot_config_FR2,-881.7486740446541,881.7486740446541
69,house_style_2Story,-814.6783544645115,814.6783544645115
63,bldg_type_Twnhs,-794.8319881499425,794.8319881499425
50,have_alley,-794.1841621353373,794.1841621353373
70,house_style_SFoyer,-790.0695465112539,790.0695465112539
95,exterior_2nd_AsphShn,782.3985832177608,782.3985832177608
55,land_contour_Low,-767.9256442732587,767.9256442732587
107,exterior_2nd_Wd Sdng,751.2315580795038,751.2315580795038
86,exterior_1st_HdBoard,-750.6554028205574,750.6554028205574
